Year,Statistic,Name,Team,Value
2021,Wins,Julio Urias,Los Angeles Dodgers,20.0
2009,Complete Games,Matt Cain,San Francisco,4.0
2009,ERA,Chris Carpenter,St. Louis,2.24
2009,Games,Pedro Feliciano,New York,88.0
2009,Saves,Heath Bell,San Diego,42.0
2009,Shutouts,Bronson Arroyo,Cincinnati,2.0
2009,Strikeouts,Tim Lincecum,San Francisco,261.0
2009,Winning Percentage,Chris Carpenter,St. Louis,0.81
2009,Wins,Adam Wainwright,St. Louis,19.0
1931,Complete Games,Red Lucas,Cincinnati,24.0
1931,ERA,Bill Walker,New York,2.26
1931,Games,Jumbo Elliott,Philadelphia,52.0
1931,Saves,Jack Quinn,Brooklyn,15.0
1931,Shutouts,Bill Walker,New York,6.0
1931,Strikeouts,Bill Hallahan,St. Louis,159.0
1931,Winning Percentage,Paul Derringer,St. Louis,0.692
1931,Wins,Jumbo Elliott,Philadelphia,19.0
1925,Complete Games,Pete Donohue,Cincinnati,27.0
1925,ERA,Dolf Luque,Cincinnati,2.63
1925,Games,Johnny Morrison,Pittsburgh,44.0
1925,Saves,Guy Bush,Chicago,4.0
1925,Shutouts,Hal Carlson,Philadelphia,4.0
1925,Strikeouts,Dazzy Vance,Brooklyn,221.0
1925,Winning Percentage,Bill Sherdel,St. Louis,0.714
1925,Wins,Dazzy Vance,Brooklyn,22.0
1919,Complete Games,Wilbur Cooper,Pittsburgh,27.0
1919,ERA,Grover Alexander,Chicago,1.72
1919,Games,Oscar Tuero,St. Louis,45.0
1919,Saves,Oscar Tuero,St. Louis,4.0
1919,Shutouts,Grover Alexander,Chicago,9.0
1919,Strikeouts,Hippo Vaughn,Chicago,141.0
1919,Winning Percentage,Dutch Ruether,Cincinnati,0.76
1919,Wins,Jesse Barnes,New York,25.0
1933,Complete Games,Lon Warneke,Chicago,26.0
1933,ERA,Carl Hubbell,New York,1.66
1933,Games,Dizzy Dean,St. Louis,48.0
1933,Saves,Phil Collins,Philadelphia,6.0
1933,Shutouts,Carl Hubbell,New York,10.0
1933,Strikeouts,Dizzy Dean,St. Louis,199.0
1933,Winning Percentage,Ben Cantwell,Boston,0.667
1933,Wins,Carl Hubbell,New York,23.0
1927,Complete Games,Jesse Haines,St. Louis,25.0
1927,ERA,Ray Kremer,Pittsburgh,2.47
1927,Games,Charlie Root,Chicago,48.0
1927,Saves,Bill Sherdel,St. Louis,6.0
1927,Shutouts,Jesse Haines,St. Louis,6.0
1927,Strikeouts,Dazzy Vance,Brooklyn,184.0
1927,Winning Percentage,Larry Benton,Boston,0.708
1927,Wins,Charlie Root,Chicago,26.0
2023,Complete Games,Sandy Alcantara,Miami Marlins,3.0
2023,ERA,Blake Snell,San Diego Padres,2.25
2023,Games,Miguel Castro,Arizona Diamondbacks,75.0
2023,Saves,David Bednar,Pittsburgh Pirates,39.0
2023,Shutouts,Sandy Alcantara,Miami Marlins,1.0
2023,Strikeouts,Spencer Strider,Atlanta Braves,281.0
2023,Winning Percentage,Spencer Strider,Atlanta Braves,0.8
2023,Wins,Spencer Strider,Atlanta Braves,20.0
1884,Complete Games,Old Hoss Radbourn,Providence,73.0
1884,ERA,Old Hoss Radbourn,Providence,1.38
1884,Games,Old Hoss Radbourn,Providence,75.0
1884,Saves,John Morrill,Boston,2.0
1884,Shutouts,Pud Galvin,Buffalo,12.0
1884,Strikeouts,Old Hoss Radbourn,Providence,441.0
1884,Winning Percentage,Old Hoss Radbourn,Providence,0.831
1884,Wins,Old Hoss Radbourn,Providence,59.0
1890,Complete Games,Bill Hutchison,Chicago,65.0
1890,ERA,Billy Rhines,Cincinnati,1.95
1890,Games,Bill Hutchison,Chicago,71.0
1890,Saves,Dave Foutz,Brooklyn,2.0
1890,Shutouts,Kid Nichols,Boston,7.0
1890,Strikeouts,Amos Rusie,New York,341.0
1890,Winning Percentage,Tom Lovett,Brooklyn,0.732
1890,Wins,Bill Hutchison,Chicago,42.0
1891,Complete Games,Bill Hutchison,Chicago,56.0
1891,ERA,John Ewing,New York,2.27
1891,Games,Bill Hutchison,Chicago,66.0
1891,Saves,John Clarkson,Boston,3.0
1891,Shutouts,Amos Rusie,New York,6.0
1891,Strikeouts,Amos Rusie,New York,337.0
1891,Winning Percentage,John Ewing,New York,0.724
1891,Wins,Bill Hutchison,Chicago,44.0
1885,Complete Games,John Clarkson,Chicago,68.0
1885,ERA,Tim Keefe,New York,1.58
1885,Games,John Clarkson,Chicago,70.0
1885,Saves,Fred Pfeffer,Chicago,2.0
1885,Shutouts,John Clarkson,Chicago,10.0
